代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
002766,索菱股份,20260108,E_Leader_Restart (二次启动),7.08,-47.03%,-29.56%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002355,兴民智通,20260108,E_Leader_Restart (二次启动),6.59,-33.38%,-5.64%,1,7,110,++++++-------+++++++++++++++++++++++++++++++++-+--------------------++++---+----------------------------------,深度套牢 | 冲高回落
600620,天宸股份,20260108,E_Leader_Restart (二次启动),7.12,-42.42%,-17.43%,1,2,113,+-----+-+----------+---------------------------------------------------------------------------------------------,深度套牢
000949,新乡化纤,20260108,E_Leader_Restart (二次启动),6.02,5.48%,20.03%,1,3,115,++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603110,东方材料,20260319,A_Strong_Pullback (中风险接力),17.66,19.59%,16.08%,21,1,71,--------------------+++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000617,中油资本,20260319,E_Leader_Restart (二次启动),9.89,-30.74%,-12.04%,1,17,71,++++++++-+++++++-------------------------------------------------------,深度套牢 | 冲高回落
000600,建投能源,20260314,E_Leader_Restart (二次启动),10.19,-11.58%,-2.85%,8,1,75,-------++---------------------------------+---++++++++++++--++++-----------,深度套牢 | 冲高回落
600589,大位科技,20260222,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260222,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000048,京基智农,20260613,E_Leader_Restart (二次启动),18.91,12.32%,9.39%,2,1,14,-++-++++++++++,正常
002054,德美化工,20260116,E_Leader_Restart (二次启动),8.52,-17.61%,1.17%,4,1,109,---+++++++++++++++++++++++++++++++++++---+-++++---+++++-+---------+++++++++----------------------------------,深度套牢 | 冲高回落
000409,云鼎科技,20260116,E_Leader_Restart (二次启动),12.61,-32.99%,-17.39%,从未,1,109,-------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600839,四川长虹,20260116,E_Leader_Restart (二次启动),10.7,-35.98%,-18.43%,3,1,109,--+++--------------------------------------------------------------------------------------------------------,深度套牢
000026,飞亚达,20260417,E_Leader_Restart (二次启动),16.2,35.12%,26.16%,1,34,51,+++++++++++++++++++++++++++++++++--++++++++++++++++,正常
600058,五矿发展,20260128,E_Leader_Restart (二次启动),14.93,-28.00%,-22.94%,从未,1,101,-----------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002890,弘宇股份,20260128,E_Leader_Restart (二次启动),16.42,-2.98%,-2.64%,1,17,101,++++++++++++++++-------+---------------+---++---+------+++++++++++++++-+-----------------------------,冲高回落
603926,铁流股份,20260128,E_Leader_Restart (二次启动),25.44,-24.49%,-18.69%,2,1,101,-+++++-----------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002185,华天科技,20260128,E_Leader_Restart (二次启动),14.66,33.08%,4.11%,1,3,101,++-+---------++++-------------+-------------------------------+----++++++++++++++++++++++++++++++++++,正常
600770,综艺股份,20260128,E_Leader_Restart (二次启动),6.62,-8.01%,-3.71%,1,3,101,++-++++++++----+--------------+-----------------------++++++++++++++++-++----------------------++++--,冲高回落
601117,中国化学,20260128,E_Leader_Restart (二次启动),8.82,-14.40%,-4.29%,1,3,101,++-----------+++++++++++++++++---++++-++-++++++------------------------------------------------------,深度套牢 | 冲高回落
000990,诚志股份,20260128,E_Leader_Restart (二次启动),8.96,-1.23%,9.20%,1,3,101,++-------------------+--++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++---+++------------,冲高回落
002815,崇达技术,20260128,E_Leader_Restart (二次启动),16.08,-7.52%,-2.21%,15,1,101,--------------+-----------+-+---------------------------------++++-----+++++++++++++++++++++++++-++--,冲高回落
600230,沧州大化,20260128,E_Leader_Restart (二次启动),18.89,-27.63%,-2.60%,1,30,101,+++++++++++++++++++++++++++++-------+-++-++++++++++++++++++------------------------------------------,深度套牢 | 冲高回落
600552,凯盛科技,20260128,E_Leader_Restart (二次启动),15.65,62.24%,8.29%,53,1,101,----------------------------------------------------+--+---++++++++++++++++++++++++++++++++++++++++++,正常
000159,国际实业,20260128,E_Leader_Restart (二次启动),7.11,-21.66%,-7.95%,16,1,101,---------------+++++++----------------------------------------------+--------------------------------,深度套牢 | 冲高回落
605366,宏柏新材,20260128,E_Leader_Restart (二次启动),7.06,68.98%,56.52%,5,1,101,----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
600173,卧龙新能,20260128,E_Leader_Restart (二次启动),8.41,-26.75%,-12.21%,1,2,101,+----++++++-++---------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603078,江化微,20260128,E_Leader_Restart (二次启动),29.03,93.80%,3.15%,67,1,101,------------------------------------------------------------------+++++++++++++++++++++++++++++++++++,正常
002165,红 宝 丽,20260128,E_Leader_Restart (二次启动),10.21,-39.08%,-6.87%,1,31,101,++++++++++++++++++++++++++++++---+-------------------------------------------------------------------,深度套牢 | 冲高回落
600589,大位科技,20260215,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260215,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
601872,招商轮船,20260403,E_Leader_Restart (二次启动),19.47,-12.69%,-11.32%,1,4,60,+++-----------------+------------------------------++++-----,深度套牢 | 冲高回落
603012,创力集团,20260511,C_New_Strategy (最高共振),9.55,-7.64%,-9.24%,1,3,38,++------+++++-------------------------,冲高回落
603758,秦安股份,20260511,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-19.80%,从未,1,38,--------------------------------------,长期未回正 | 深度套牢
603890,春秋电子,20260607,E_Leader_Restart (二次启动),31.24,-24.97%,-17.30%,从未,1,19,-------------------,长期未回正 | 深度套牢
002137,实益达,20260607,E_Leader_Restart (二次启动),10.35,0.68%,0.81%,2,1,19,-++-----+++-+++++-+,正常
000719,中原传媒,20260206,C_New_Strategy (最高共振),13.44,-15.48%,-2.18%,2,1,94,-++----++--------------+-----------++++++++++++++++-+++++++++++++-------+---------------------,深度套牢 | 冲高回落
000937,冀中能源,20260206,A_Strong_Pullback (中风险接力),5.67,-24.69%,-3.87%,7,1,94,------+-+++++++++++++++-++++++++--------------+--++-+-+-----------------++++------------------,深度套牢 | 冲高回落
600463,空港股份,20260206,B_Low_Position_Start (低风险埋伏),11.73,-31.20%,-13.69%,1,10,94,+++++++++-------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603065,宿迁联盛,20260226,C_New_Strategy (最高共振),9.65,94.82%,4.53%,16,1,86,---------------+----------------------------------------------------++++++++++++++++++,正常
002207,准油股份,20260226,E_Leader_Restart (二次启动),11.59,-41.33%,-23.59%,2,1,86,-+++++++++----------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260226,E_Leader_Restart (二次启动),13.8,-24.49%,-15.52%,2,1,86,-++++++-+++++-------------+-----------------------------------------------------------,深度套牢 | 冲高回落
000554,泰山石油,20260226,E_Leader_Restart (二次启动),8.83,-33.30%,-11.61%,1,16,86,+++++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
605033,美邦股份,20260226,E_Leader_Restart (二次启动),29.45,-38.54%,-26.82%,从未,1,86,--------------------------------------------------------------------------------------,长期未回正 | 深度套牢
605006,山东玻纤,20260226,E_Leader_Restart (二次启动),10.69,71.38%,32.39%,37,1,86,------------------------------------++--++++++++++++++++++++++++++++++++++++++++++++++,正常
601390,中国中铁,20260226,E_Leader_Restart (二次启动),6.19,-30.86%,-17.53%,1,3,86,++------------------------------------------------------------------------------------,深度套牢
000968,蓝焰控股,20260226,E_Leader_Restart (二次启动),8.55,-26.90%,0.72%,1,46,86,+++++++++++++++++++++++++++++++++++++++++++++-------+---------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260226,E_Leader_Restart (二次启动),8.8,-28.41%,-18.64%,9,1,86,--------++----------------------------------------------------------------------------,深度套牢
600026,中远海能,20260226,E_Leader_Restart (二次启动),20.15,-13.80%,7.40%,1,61,86,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------++++------,深度套牢 | 冲高回落
600906,财达证券,20260528,B_Low_Position_Start (低风险埋伏),6.74,15.58%,7.03%,3,1,25,--++-+++--+++++++++++++++,正常
601958,金钼股份,20260528,E_Leader_Restart (二次启动),24.41,2.46%,5.34%,11,1,25,----------+++++++++++++++,正常
002107,沃华医药,20260413,E_Leader_Restart (二次启动),7.53,-11.82%,-10.53%,1,10,55,+++++++++--+-------------------------------------------,深度套牢 | 冲高回落
000559,万向钱潮,20260517,A_Strong_Pullback (中风险接力),17.5,-18.74%,-15.67%,1,6,34,+++++-----------------------------,深度套牢
603809,豪能股份,20260517,A_Strong_Pullback (中风险接力),11.48,-14.46%,-12.01%,2,1,34,-+--------------------------------,深度套牢
603018,华设集团,20260517,A_Strong_Pullback (中风险接力),7.6,-29.34%,-11.59%,2,1,34,-+--------------------------------,深度套牢
002617,露笑科技,20260517,E_Leader_Restart (二次启动),9.36,-2.24%,-1.40%,2,1,34,-++--++++---------------+++-+++++-,冲高回落
002254,泰和新材,20260517,E_Leader_Restart (二次启动),14.18,17.63%,11.22%,1,10,34,+++++++++-----++--++++++++++++++++,正常
002277,友阿股份,20260517,E_Leader_Restart (二次启动),6.54,-2.91%,-0.87%,4,1,34,---++++++++--++-++----------------,冲高回落
603567,珍宝岛,20260501,B_Low_Position_Start (低风险埋伏),7.08,-32.34%,-10.20%,1,20,42,+++++++++++++++++++-----------------------,深度套牢 | 冲高回落
002115,三维通信,20260429,E_Leader_Restart (二次启动),14.0,-23.64%,-10.43%,1,11,43,++++++++++---------------------------------,深度套牢 | 冲高回落
003036,泰坦股份,20260429,E_Leader_Restart (二次启动),33.83,159.56%,105.72%,2,1,43,-++++++++++++++++++++++++++++++++++++++++++,正常
600998,九州通,20260124,C_New_Strategy (最高共振),5.58,-11.47%,-8.56%,1,2,104,+-------------------------------------------------------------------------------------------------------,深度套牢
000670,盈方微,20260124,E_Leader_Restart (二次启动),9.69,-24.15%,-13.72%,1,2,104,+---------------------------------------------------------------------------+---------+-----------------,深度套牢
600192,长城电工,20260124,E_Leader_Restart (二次启动),11.35,-41.76%,-24.81%,从未,1,104,--------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002727,一心堂,20260124,D_Strong_Breakout (高风险追涨/优化),14.04,-26.21%,-11.37%,3,1,104,--+++--++-++---------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
603883,老百姓,20260124,D_Strong_Breakout (高风险追涨/优化),16.44,-30.23%,-18.48%,从未,1,104,--------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002591,恒大高新,20260508,E_Leader_Restart (二次启动),7.96,-20.23%,-0.51%,1,13,39,++++++++++++-+-------++----------------,深度套牢 | 冲高回落
603095,越剑智能,20260508,E_Leader_Restart (二次启动),24.18,-39.00%,-21.69%,1,5,39,++++-----------------------------------,深度套牢 | 冲高回落
603890,春秋电子,20260605,E_Leader_Restart (二次启动),29.36,-20.16%,-12.00%,12,1,19,-----------+-------,深度套牢
002125,湘潭电化,20260605,E_Leader_Restart (二次启动),16.2,-19.75%,1.69%,2,1,19,-++++++++++--------,深度套牢 | 冲高回落
600906,财达证券,20260529,B_Low_Position_Start (低风险埋伏),6.74,15.58%,7.36%,2,1,24,-++-+++--+++++++++++++++,正常
601958,金钼股份,20260529,E_Leader_Restart (二次启动),24.41,2.46%,5.60%,10,1,24,---------+++++++++++++++,正常
603012,创力集团,20260512,C_New_Strategy (最高共振),9.55,-7.64%,-9.55%,1,2,37,+------+++++-------------------------,冲高回落
603758,秦安股份,20260512,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-20.29%,从未,1,37,-------------------------------------,长期未回正 | 深度套牢
603567,珍宝岛,20260504,B_Low_Position_Start (低风险埋伏),7.08,-32.34%,-10.20%,1,20,42,+++++++++++++++++++-----------------------,深度套牢 | 冲高回落
002268,电科网安,20251228,C_New_Strategy (最高共振),20.33,-33.35%,-15.15%,2,1,121,-+++++++++++++---+-------------+-----------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000411,英特集团,20251228,A_Strong_Pullback (中风险接力),12.86,-25.82%,-11.67%,1,8,110,+++++++--------------------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
002228,合兴包装,20251228,E_Leader_Restart (二次启动),6.33,-51.18%,-37.31%,从未,1,122,--------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002427,尤夫股份,20251228,E_Leader_Restart (二次启动),6.76,-26.78%,-7.54%,1,3,122,++----+-+-+++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
603012,创力集团,20260513,C_New_Strategy (最高共振),9.55,-7.64%,-9.87%,7,1,36,------+++++-------------------------,冲高回落
603758,秦安股份,20260513,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-20.80%,从未,1,36,------------------------------------,长期未回正 | 深度套牢
002585,双星新材,20260513,E_Leader_Restart (二次启动),8.78,25.74%,31.62%,4,1,36,---+--++++++++++++++++++++++++++++++,正常
603567,珍宝岛,20260502,B_Low_Position_Start (低风险埋伏),7.08,-32.34%,-10.20%,1,20,42,+++++++++++++++++++-----------------------,深度套牢 | 冲高回落
000048,京基智农,20260615,E_Leader_Restart (二次启动),18.91,12.32%,10.74%,1,3,13,++-++++++++++,正常
600611,大众交通,20260107,C_New_Strategy (最高共振),6.07,-36.41%,-17.55%,3,1,113,--+-----+--------------------------------------------------------------------------++----------------------------,深度套牢
600906,财达证券,20260107,B_Low_Position_Start (低风险埋伏),7.12,9.41%,-4.54%,43,1,113,------------------------------------------+--------------------------------------------------------++++++++++++++,正常
600864,哈投股份,20260107,B_Low_Position_Start (低风险埋伏),6.94,-22.19%,-9.85%,1,3,113,++------------------------------------------------------+++++++++++----------------------------------------------,深度套牢 | 冲高回落
002072,凯瑞德,20260107,E_Leader_Restart (二次启动),7.93,21.56%,-2.49%,19,1,113,------------------+------+------------------------------------------------------------++--+++++++++++++++++++++++,正常
601512,中新集团,20260107,E_Leader_Restart (二次启动),9.51,-15.14%,-3.03%,1,2,113,+----+++++++++-++++++++-++-+--------------+---------------------+++++++++++++------------------------------------,深度套牢 | 冲高回落
600583,海油工程,20260213,C_New_Strategy (最高共振),7.17,-28.03%,-9.92%,1,12,89,+++++++++++-------+-----------------+----------------------------------------------------,深度套牢 | 冲高回落
600769,祥龙电业,20260213,B_Low_Position_Start (低风险埋伏),12.86,69.36%,26.21%,1,6,89,+++++-+++-+++++++++----++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
003018,金富科技,20260213,E_Leader_Restart (二次启动),23.54,181.56%,97.29%,2,1,89,-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260213,E_Leader_Restart (二次启动),13.2,-33.71%,-14.49%,3,1,89,--+----++-+++----------------------------------------------------------------------------,深度套牢
600579,中化装备,20260619,E_Leader_Restart (二次启动),7.37,7.33%,5.50%,1,3,10,++-+++++++,正常
603012,创力集团,20260514,C_New_Strategy (最高共振),9.55,-7.64%,-10.13%,6,1,35,-----+++++-------------------------,冲高回落
603758,秦安股份,20260514,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-21.25%,从未,1,35,-----------------------------------,长期未回正 | 深度套牢
002585,双星新材,20260514,E_Leader_Restart (二次启动),8.78,25.74%,32.66%,3,1,35,--+--++++++++++++++++++++++++++++++,正常
600589,大位科技,20260214,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260214,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600579,中化装备,20260622,E_Leader_Restart (二次启动),7.37,7.33%,6.00%,1,2,9,+-+++++++,正常
002752,昇兴股份,20251216,A_Strong_Pullback (中风险接力),8.18,-28.00%,-18.34%,6,1,130,-----+-+--------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600212,绿能慧充,20251216,B_Low_Position_Start (低风险埋伏),8.61,-35.77%,-15.42%,从未,1,130,----------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002235,安妮股份,20251216,E_Leader_Restart (二次启动),13.0,-28.38%,-21.37%,从未,1,129,---------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002347,泰尔股份,20251216,E_Leader_Restart (二次启动),8.07,-23.30%,7.21%,7,1,130,------++++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++--+++++++++++-----++++++++++++-+-----------------------------,深度套牢 | 冲高回落
002752,昇兴股份,20251216,A_Strong_Pullback (中风险接力),8.18,-28.00%,-18.34%,6,1,130,-----+-+--------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600212,绿能慧充,20251216,B_Low_Position_Start (低风险埋伏),8.61,-35.77%,-15.42%,从未,1,130,----------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002235,安妮股份,20251216,E_Leader_Restart (二次启动),13.0,-28.38%,-21.37%,从未,1,129,---------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002347,泰尔股份,20251216,E_Leader_Restart (二次启动),8.07,-23.30%,7.21%,7,1,130,------++++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++--+++++++++++-----++++++++++++-+-----------------------------,深度套牢 | 冲高回落
603212,赛伍技术,20260603,A_Strong_Pullback (中风险接力),15.46,-19.60%,-8.07%,1,5,21,++++-+++++-----------,深度套牢 | 冲高回落
603633,徕木股份,20260603,E_Leader_Restart (二次启动),9.06,-21.30%,-15.33%,从未,1,21,---------------------,长期未回正 | 深度套牢
002700,万憬能源,20260603,E_Leader_Restart (二次启动),7.94,-15.87%,-0.43%,1,14,21,+++++++++++++--------,深度套牢 | 冲高回落
601918,新集能源,20260603,E_Leader_Restart (二次启动),10.97,-16.32%,-14.27%,1,2,21,+--------------------,深度套牢
002729,好利科技,20260519,E_Leader_Restart (二次启动),21.07,-15.52%,-10.48%,1,2,29,+----------------------------,深度套牢
603677,奇精机械,20260519,E_Leader_Restart (二次启动),17.17,-20.50%,-11.07%,2,1,32,-+++++--+-+---------------------,深度套牢 | 冲高回落
603012,创力集团,20260516,C_New_Strategy (最高共振),9.55,-7.64%,-10.30%,5,1,34,----+++++-------------------------,冲高回落
603758,秦安股份,20260516,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-21.84%,从未,1,34,----------------------------------,长期未回正 | 深度套牢
000586,汇源通信,20260415,E_Leader_Restart (二次启动),23.19,-42.78%,-26.29%,从未,1,53,-----------------------------------------------------,长期未回正 | 深度套牢
000026,飞亚达,20260415,E_Leader_Restart (二次启动),16.2,35.12%,25.52%,1,36,53,+++++++++++++++++++++++++++++++++++--++++++++++++++++,正常
600589,大位科技,20260224,E_Leader_Restart (二次启动),13.19,-27.22%,-16.08%,52,1,88,---------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260224,E_Leader_Restart (二次启动),12.77,-57.01%,-39.43%,从未,1,88,----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600318,新力金融,20251223,A_Strong_Pullback (中风险接力),9.07,-29.88%,-12.44%,1,3,113,++------------------------+++++++++++-----+----------------------------------------------------------------------,深度套牢 | 冲高回落
603535,嘉诚国际,20251223,B_Low_Position_Start (低风险埋伏),11.59,-45.13%,-25.17%,从未,1,125,-----------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600889,南京化纤,20251223,B_Low_Position_Start (低风险埋伏),15.75,6.48%,0.65%,1,42,112,+++++++++++++++++++++++++++++++++++++++++-----------------------+-------++---------++++++++-+-+++++++--------+++,正常
002735,王子新材,20251223,E_Leader_Restart (二次启动),17.79,-16.75%,-7.04%,1,15,113,++++++++++++++-++++++++++++++----------------------------------------------------------------++++++++++++--------,深度套牢 | 冲高回落
002491,通鼎互联,20251223,E_Leader_Restart (二次启动),6.95,266.47%,125.20%,25,1,125,------------------------+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002766,索菱股份,20251223,E_Leader_Restart (二次启动),6.02,-37.71%,-17.16%,1,2,110,+---++--------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600468,百利电气,20251223,E_Leader_Restart (二次启动),7.22,-20.22%,3.03%,2,1,125,-+------++++++++++++++++---++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------------------------------,深度套牢 | 冲高回落
002204,大连重工,20251223,E_Leader_Restart (二次启动),7.65,-28.89%,-11.76%,2,1,125,-+-------++++------++++-----+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002666,德联集团,20251225,A_Strong_Pullback (中风险接力),5.63,-27.71%,-7.38%,17,1,123,----------------++++++-+--+-++++--+++++--+++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
600877,电科芯片,20251225,A_Strong_Pullback (中风险接力),16.07,4.23%,8.39%,1,54,123,+++++++++++++++++++++++++++++++++++++++++++++++++++++-------+---++++++++++++++++++++++++++++-++--------------------+++-++++,正常
601133,柏诚股份,20251225,E_Leader_Restart (二次启动),17.48,113.84%,28.99%,14,1,123,-------------+++++++++-+++++-+----+++++---------------+++++-+++++++++++++++++++++++++++++++++++++++++++++--++++++++++++++++,正常
600694,大商股份,20260113,C_New_Strategy (最高共振),20.05,-29.43%,-15.79%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600784,鲁银投资,20260113,E_Leader_Restart (二次启动),7.73,0.91%,-5.76%,62,1,112,-------------------------------------------------------------+----+----------++++++++++------------------------+,正常
600028,中国石化,20260304,C_New_Strategy (最高共振),7.11,-33.90%,-23.96%,从未,1,82,----------------------------------------------------------------------------------,长期未回正 | 深度套牢
000993,闽东电力,20260304,E_Leader_Restart (二次启动),14.0,-27.43%,-6.47%,1,9,82,++++++++-+++-++++++++------------------------+---+-----+++++++--------------------,深度套牢 | 冲高回落
000819,岳阳兴长,20260304,D_Strong_Breakout (高风险追涨/优化),17.48,-31.81%,-14.75%,从未,1,82,----------------------------------------------------------------------------------,长期未回正 | 深度套牢
002107,沃华医药,20260412,E_Leader_Restart (二次启动),7.53,-11.82%,-10.44%,2,1,56,-+++++++++--+-------------------------------------------,深度套牢 | 冲高回落
000700,模塑科技,20251226,A_Strong_Pullback (中风险接力),11.25,56.44%,21.83%,1,53,122,++++++++++++++++++++++++++++++++++++++++++++++++++++-+++++++++-+++-+++++++--+-++++++++++++++++++++++++++++++++++++++++++++,正常
000948,南天信息,20251226,B_Low_Position_Start (低风险埋伏),17.56,-31.44%,-11.95%,1,19,122,++++++++++++++++++--------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600106,重庆路桥,20251226,B_Low_Position_Start (低风险埋伏),6.5,-29.08%,-10.19%,12,1,121,-----------+++++++-------------------------------------------------------------------------------------------------------,深度套牢
002383,合众思壮,20251226,E_Leader_Restart (二次启动),11.74,-38.59%,-14.82%,1,15,122,++++++++++++++---+-------------------++++++++-----------------------------------------------------------------------------,深度套牢 | 冲高回落
002166,莱茵生物,20251226,E_Leader_Restart (二次启动),9.43,-30.43%,-8.86%,19,1,122,------------------+++------------------------+----------------------------------------------------------------------------,深度套牢
002427,尤夫股份,20251226,E_Leader_Restart (二次启动),6.69,-26.01%,-6.57%,1,4,122,+++---+++-++++++++++++++++++++++++++++++++++++++++++-------------+--------------------------------------------------------,深度套牢 | 冲高回落
603587,地素时尚,20251226,D_Strong_Breakout (高风险追涨/优化),13.77,-14.02%,-8.13%,从未,1,122,--------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603065,宿迁联盛,20260228,C_New_Strategy (最高共振),9.65,94.82%,4.62%,15,1,85,--------------+----------------------------------------------------++++++++++++++++++,正常
600470,六国化工,20260228,E_Leader_Restart (二次启动),7.94,-23.43%,-15.95%,1,2,85,+---+++++++++------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260228,E_Leader_Restart (二次启动),13.8,-24.49%,-15.68%,1,7,85,++++++-+++++-------------+-----------------------------------------------------------,深度套牢 | 冲高回落
000554,泰山石油,20260228,E_Leader_Restart (二次启动),8.83,-33.30%,-11.76%,1,15,85,++++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
603315,福鞍股份,20260228,E_Leader_Restart (二次启动),17.7,-17.51%,-8.22%,34,1,85,---------------------------------+--++++----+++++++++--------------------------------,深度套牢 | 冲高回落
601390,中国中铁,20260228,E_Leader_Restart (二次启动),6.19,-30.86%,-17.76%,1,2,85,+------------------------------------------------------------------------------------,深度套牢
000968,蓝焰控股,20260228,E_Leader_Restart (二次启动),8.55,-26.90%,0.73%,1,45,85,++++++++++++++++++++++++++++++++++++++++++++-------+---------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260228,E_Leader_Restart (二次启动),8.8,-28.41%,-18.85%,8,1,85,-------++----------------------------------------------------------------------------,深度套牢
603006,联明股份,20260427,D_Strong_Breakout (高风险追涨/优化),13.64,8.65%,0.92%,1,2,45,+--+++++++++++++---++++--+++--------+++++++++,正常
002268,电科网安,20251227,C_New_Strategy (最高共振),20.33,-33.35%,-15.15%,2,1,121,-+++++++++++++---+-------------+-----------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000411,英特集团,20251227,A_Strong_Pullback (中风险接力),12.86,-25.82%,-11.67%,1,8,110,+++++++--------------------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
002228,合兴包装,20251227,E_Leader_Restart (二次启动),6.33,-51.18%,-37.31%,从未,1,122,--------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002427,尤夫股份,20251227,E_Leader_Restart (二次启动),6.76,-26.78%,-7.54%,1,3,122,++----+-+-+++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
603065,宿迁联盛,20260301,C_New_Strategy (最高共振),9.65,94.82%,4.62%,15,1,85,--------------+----------------------------------------------------++++++++++++++++++,正常
600470,六国化工,20260301,E_Leader_Restart (二次启动),7.94,-23.43%,-15.95%,1,2,85,+---+++++++++------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260301,E_Leader_Restart (二次启动),13.8,-24.49%,-15.68%,1,7,85,++++++-+++++-------------+-----------------------------------------------------------,深度套牢 | 冲高回落
000554,泰山石油,20260301,E_Leader_Restart (二次启动),8.83,-33.30%,-11.76%,1,15,85,++++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
603315,福鞍股份,20260301,E_Leader_Restart (二次启动),17.7,-17.51%,-8.22%,34,1,85,---------------------------------+--++++----+++++++++--------------------------------,深度套牢 | 冲高回落
601390,中国中铁,20260301,E_Leader_Restart (二次启动),6.19,-30.86%,-17.76%,1,2,85,+------------------------------------------------------------------------------------,深度套牢
000968,蓝焰控股,20260301,E_Leader_Restart (二次启动),8.55,-26.90%,0.73%,1,45,85,++++++++++++++++++++++++++++++++++++++++++++-------+---------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260301,E_Leader_Restart (二次启动),8.8,-28.41%,-18.85%,8,1,85,-------++----------------------------------------------------------------------------,深度套牢
